id,name,category_id,hiragana,katakana,kanji,other
1,牛肉,1,ぎゅうにく,ギュウニク,牛肉,
2,豚肉,1,ぶたにく,ブタニク,豚肉,
3,鶏肉,1,とりにく,トリニク,鶏肉,
4,ひき肉,1,ひきにく,ヒキニク,挽肉,
5,ニンジン,2,にんじん,ニンジン,人参,
6,ほうれん草,2,ほうれんそう,ホウレンソウ,ほうれん草,
7,ピーマン,2,ぴーまん,ピーマン,,
8,カボチャ,2,かぼちゃ,カボチャ,南瓜,
9,小松菜,2,こまつな,コマツナ,小松菜,こまつ菜
10,チンゲン菜,2,ちんげんさい,チンゲンサイ,青梗菜,ちんげん菜
11,トマト,2,とまと,トマト,,
12,ブロッコリー,2,ぶろっこりー,ブロッコリー,,
13,ニラ,2,にら,ニラ,韮,
14,ネギ,2,ねぎ,ネギ,葱,青ねぎ
15,長ネギ,2,ながねぎ,ナガネギ,長ネギ,白ネギ
16,春菊,2,しゅんぎく,シュンギク,春菊,
17,タマネギ,2,たまねぎ,タマネギ,玉葱,玉ねぎ
18,キャベツ,2,きゃべつ,キャベツ,,
19,大根,2,だいこん,ダイコン,大根,
20,モヤシ,2,もやし,モヤシ,,
21,キュウリ,2,きゅうり,キュウリ,胡瓜,
22,白菜,2,はくさい,ハクサイ,白菜,
23,ゴボウ,2,ごぼう,ゴボウ,牛蒡,
24,生姜,2,しょうが,ショウガ,生姜,
25,ニンニク,2,にんにく,ニンニク,,ガーリック
26,タケノコ,2,たけのこ,タケノコ,筍,
27,カブ,2,かぶ,カブ,,
28,カリフラワー,2,かりふらわー,カリフラワー,,
29,オクラ,2,おくら,オクラ,,
30,ししとう,2,ししとう,シシトウ,獅子唐,
31,ナス,2,なす,ナス,茄子,
32,レタス,2,れたす,レタス,,
33,レンコン,2,れんこん,レンコン,蓮根,
34,ゴーヤ,2,にがうり,ゴーヤ,苦瓜,ゴーヤー
35,アボカド,2,あぼかど,アボカド,,
36,大葉,2,おおば,オオバ,大葉,シソ
37,ジャガイモ,3,じゃがいも,ジャガイモ,じゃが芋,馬鈴薯
38,サツマイモ,3,さつまいも,サツマイモ,さつま芋,
39,サトイモ,3,さといも,サトイモ,里芋,
40,大豆,4,だいず,"ダイズ",大豆,
41,ミックスビーンズ,4,みっくすびーんず,ミックスビーンズ,,
42,小豆,4,あずき,アズキ,小豆,
43,インゲン豆,4,いんげんまめ,インゲンマメ,いんげん豆,
44,エンドウ豆,4,えんどうまめ,エンドウマメ,えんどう豆,
45,シイタケ,5,しいたけ,シイタケ,椎茸,
46,シメジ,5,しめじ,シメジ,,
47,エノキタケ,5,えのきたけ,エノキタケ,榎茸,えのき
48,エリンギ,5,えりんぎ,エリンギ,,
49,マイタケ,5,まいたけ,マイタケ,舞茸,
50,さけ,6,さけ,サケ,鮭,
51,さば,6,さば,サバ,鯖,
52,いわし,6,いわし,イワシ,鰯,
53,さんま,6,さんま,サンマ,秋刀魚,
54,まぐろ,6,まぐろ,マグロ,鮪,
55,かつお,6,かつお,カツオ,鰹,
56,ぶり,6,ぶり,ブリ,鰤,
57,いか,6,いか,イカ,烏賊,
58,たこ,6,たこ,タコ,蛸,
59,えび,6,えび,エビ,海老,
60,しらす,6,しらす,シラス,,
61,わかめ,7,わかめ,ワカメ,,
62,ひじき,7,ひじき,ヒジキ,,
63,鰹節,8,かつおぶし,カツオブシ,鰹節,かつお節
64,木綿豆腐,8,もめんとうふ,モメントウフ,木綿豆腐,豆腐
65,絹ごし豆腐,8,きぬごしとうふ,キヌゴシトウフ,絹ごし豆腐,絹ごしとうふ
66,油揚げ,8,あぶらあげ,アブラアゲ,,
67,こんにゃく,8,こんにゃく,コンニャク,蒟蒻,
68,中華麺,8,ちゅうかめん,チュウカメン,中華麺,
69,うどん,8,うどん,ウドン,,
70,そば,8,そば,ソバ,蕎麦,
71,パスタ,8,ぱすた,パスタ,,スパゲティ
72,マカロニ,8,,,,
73,ウインナー,8,ういんなー,ウインナー,,ソーセージ
74,ハム,8,はむ,ハム,,
75,ベーコン,8,べーこん,ベーコン,,
76,トマト缶,8,とまとかん,トマトカン,トマト缶,トマト缶詰
77,ツナ缶,8,つなかん,ツナカン,ツナ缶,シーチキン
78,牛乳,9,ぎゅうにゅう,ミルク,牛乳,
79,チーズ,9,ちーず,チーズ,,
80,バター,9,ばたー,バター,,
81,マーガリン,9,まーがりん,マーガリン,,
82,ヨーグルト,9,よーぐると,ヨーグルト,,
83,卵,10,たまご,タマゴ,卵,
84,小麦粉,10,こむぎこ,コムギコ,小麦粉,
85,薄力粉,10,はくりきこ,ハクリキコ,薄力粉,
86,強力粉,10,きょうりきこ,キョウリキコ,強力粉,
87,片栗粉,10,かたくりこ,カタクリ粉,片栗粉,かたくり粉
88,パン粉,10,ぱんこ,パンコ,パン粉,
89,胡麻,10,ごま,ゴマ,胡麻,いりごま
90,しらたき,10,しらたき,"シラタキ",白滝,
91,鷹の爪,10,たかのつめ,タカノツメ,鷹の爪,
92,コンソメ,10,こんそめ,コンソメ,,
93,顆粒だしの素,10,かりゅうだしのもと,カリュウダシノモト,顆粒出汁の素,だしの素
