id,name,hiragana,katakana,kanji,other
1,塩,しお,シオ,塩,
2,こしょう,こしょう,コショウ,胡椒,
3,砂糖,さとう,サトウ,砂糖,シュガー
4,醤油,しょうゆ,ショウユ,醤油,
5,みりん,みりん,ミリン,味醂,
6,酒,さけ,サケ,酒,料理酒
7,酢,す,ス,酢,お酢
8,味噌,みそ,ミソ,味噌,お味噌
9,味の素,あじのもと,アジノモト,味の素,
10,顆粒だしの素,かりゅうだしのもと,カリュウダシノモト,顆粒出汁の素,顆粒だしのもと
11,鶏ガラスープの素,とりがらすーぷのもと,トリガラスープノモト,鶏ガラスープの素,鶏ガラスープのもと
12,中華スープの素,ちゅうかすーぷのもと,チュウカスープノモト,中華スープの素,中華スープのもと
13,コンソメ,こんそめ,コンソメ,,
14,鷹の爪,たかのつめ,タカノツメ,鷹の爪,唐辛子
15,豆板醤,とうばんじゃん,トウバンジャン,豆板醤,
16,甜麺醤,てんめんじゃん,テンメンジャン,甜麺醤,
17,オイスターソース,おいすたーそーす,オイスターソース,,
18,ナンプラー,なんぷらー,ナンプラー,魚醤,
19,マヨネーズ,まよねーず,マヨネーズ,,
20,ケチャップ,けちゃっぷ,ケチャップ,,トマトケチャップ
21,ウスターソース,うすたーそーす,ウスターソース,,ソース
22,中濃ソース,ちゅうのうそーす,チュウノウソース,中濃ソース,
23,お好み焼きソース,おこのみやきそーす,オコノミヤキソース,お好み焼きソース,
24,サラダ油,さらだあぶら,サラダアブラ,サラダ油,油
25,オリーブオイル,おりーぶおいる,オリーブオイル,オリーブ油,
26,ごま油,ごまあぶら,ゴマアブラ,胡麻油,ゴマ油
27,ラー油,らーゆ,ラーユ,辣油,
28,はちみつ,はちみつ,ハチミツ,,
29,味ぽん,あじぽん,アジポン,味ぽん,
30,薄口醤油,うすくちしょうゆ,ウスクチショウユ,薄口醤油,
31,カレー粉,かれーこ,カレーコ,カレー粉,
32,カレールー,かれーるー,カレールー,,カレーのルー
33,黒酢,くろず,クロズ,黒酢,
34,出汁,だし,ダシ,出汁,出汁汁
35,わさび,わさび,ワサビ,山葵,
36,からし,からし,カラシ,辛子,
37,マスタード,ますたーど,マスタード,,
38,胡麻,ごま,ゴマ,胡麻,
39,すり胡麻,すりごま,スリゴマ,擦り胡麻,
40,ワインビネガー,わいんびねがー,ワインビネガー,,
41,レモン汁,れもんじる,レモンジル,レモン汁,ポッカレモン
